name,file,result,python_modules,duration,passed
00056d4304c58a035c87cdf5ff1e5e3e,output_data_2.7.yml,OtherPass,peewee;scrapy,281.024,10
000eccf3d66540d75def,output_data_3.7.yml,OtherPass,,28.276,10
00135b0dfee0ae165ad2,output_data_2.7.yml,ImportError,module_name;maya;sip;none;yourmodulenamehere,661.172,0
005bbad123ef309a5bef,output_data_2.7.yml,CouldNotBuildWheels,sqlalchemy;redis;requests;python-memcached;mysqlclient,485.31299999999993,7
005ceac0483fc5a581cc,output_data_3.7.yml,SyntaxError,tensorflow;numpy;image,990.7269999999999,0
00a17b1d374dfc267a9a,output_data_2.7.yml,OtherPass,pymc3;numpy;pandas;theano;scipy;tensorflow,661.6019999999999,8
00a4835bf36513ca58a3,output_data_2.7.yml,ImportError,,764.248,0
00e9638c0efad1adac878522cf172484,output_data_2.7.yml,SyntaxError,gym;keras;tensorflow;numpy,593.9399999999999,1
011004bcac763eaf6f28,output_data_2.7.yml,ImportError,,420.09499999999997,0
0115e0ce312f26ff59f4fbf4f5821ca2,output_data_3.7.yml,SyntaxError,,811.676,0
015e2ce27cecdea63564,output_data_3.7.yml,SyntaxError,pymongo;bson,837.604,0
01886b6f79ba0c4dce66,output_data_2.7.yml,OtherPass,django,163.91400000000002,9
0191e14717af68bbba81,output_data_2.7.yml,OtherPass,pyspark,98.94300000000001,10
019fd5c706e0bc94879f,output_data_2.7.yml,OtherPass,rx;twisted,182.74099999999999,10
01b8b8e1909ae0f601c85e142f2bd15b,output_data_3.7.yml,SyntaxError,weibo;xtls,532.2259999999999,0
01bf3900d3a02c4e3927b2a2bcf39100,output_data_3.7.yml,SyntaxError,,611.4159999999999,0
01c99322cf985e771827,output_data_2.7.yml,ImportError,foundation,664.134,0
026a4d6400b1efac9a13a3296f16e655,output_data_2.7.yml,OtherPass,gensim;tensorflow,373.152,10
02ff378b3a91de94306a84d3aa2228bb,output_data_2.7.yml,ImportError,azure,658.4639999999999,0
0306734dfe17076dfd34e09660c198c0,output_data_3.8.yml,OtherPass,pandas;numpy;shapely;fiona;geojson,540.0539999999999,8
034e799c19eb763fa859,output_data_2.7.yml,OtherPass,django,89.297,10
035dc3b722b7f89cce66520dde285c9a,output_data_2.7.yml,CouldNotBuildWheels,swift;pyeclib,208.12000000000003,6
037e4134d8271c0de71b838a461e7ac1,output_data_2.7.yml,OtherPass,requests;pillow,266.407,10
03d9c46c86691c9bb680,output_data_2.7.yml,OtherPass,psycopg2;django,108.399,10
03de5c4c21138da5c29d,output_data_3.7.yml,TypeError,tensorflow;numpy;ipython,652.515,9
044682e76def583a12e6c09209c664a1,output_data_3.7.yml,OtherPass,scikit-learn;nltk;numpy;scipy,662.363,4
045c887b6ccdf0edf4648da0c40bcc12,output_data_3.7.yml,OtherPass,torch;nn,220.39000000000001,10
046e434c51057dc9588762edd40199b1,output_data_3.8.yml,AttributeError,foundation;pyobjc,509.32,0
04c2b5ce5978c0d66e6e,output_data_2.7.yml,OtherPass,webvirtmgr;python-editor;clipboard;pyperclip,321.476,10
04ef258fa29e4e685287a30cf60462d0,output_data_2.7.yml,ImportError,numpy;matplotlib;pandas;flotilla;touch;matrix;scipy,575.191,0
04f3047ca8770f4a3a58,output_data_2.7.yml,ImportError,twisted;my_project;scrapy,459.418,0
051e881fc94fe4a49295,output_data_2.7.yml,OtherPass,impacket;pycryptodome,155.845,10
053b89bd6975f89f043871335dce8c5b,output_data_3.7.yml,OtherPass,requests,149.923,10
053db410f7fdd4e1d6034a0a7fd45d9b,output_data_2.7.yml,OtherPass,requests;pycryptodome,66.551,10
054023c4fca5369ffdb2,output_data_2.7.yml,ImportError,clipboard,299.748,0
056626de3fbdc7cf7b59de1d9f6279d1,output_data_2.7.yml,CouldNotBuildWheels,imutils;dlib;opencv-python;numpy,293.89399999999995,0
05aadb969e43788593d3,output_data_2.7.yml,NoMatchingDistribution,idaapi,310.327,0
05bec6966701f720c3aa,output_data_3.7.yml,SyntaxError,google-api-python-client;oauth2client,793.839,3
05ff99985269200cdc4854ddc04fa6e9,output_data_2.7.yml,OtherPass,numpy;lightgbm,62.10600000000001,10
0618f44dc5270f9a2be2826d0d933ed7,output_data_2.7.yml,OtherPass,django,47.88199999999999,10
06336eb10a1628850d6f,output_data_2.7.yml,OtherPass,twisted,46.724,10
06649145d7e6c4c147c02459fd2bc5af,output_data_2.7.yml,NoMatchingDistribution,numpy;helpers;scene;animation;cython;mobject;arrow;dot;circle;vgroup,792.289,0
070c805d947bd17c7a19,output_data_2.7.yml,OtherPass,xmpppy,81.132,10
071932322204bcad6063,output_data_2.7.yml,InvalidRequirement,scene;ui,882.1810000000002,0
075c35b536cc08b832e353f2f43c0bdc,output_data_3.7.yml,OtherPass,,33.403000000000006,10
076424abd8b012371b516da32807ca14,output_data_2.7.yml,NoMatchingDistribution,pandas;mysql-connector-python;airflow,530.4069999999999,0
076bbc6a0d5056d20ad45095b434b02d,output_data_3.7.yml,OtherPass,python-nomad,67.378,10
07cdfc2826a565b50a68,output_data_2.7.yml,TypeError,pycryptodome,52.74799999999999,10
0830affa1f7f19fd47b06d4cf89ed44d,output_data_3.7.yml,OtherPass,keras;tensorflow,361.84,10
083777cb1f8c9efe6418c75d18bdd32b,output_data_2.7.yml,NoMatchingDistribution,evdev;ev3dev,417.3179999999999,0
0932b2b5293839cd7d79fa6b513c8128,output_data_2.7.yml,OtherPass,numpy;scipy,246.83900000000003,10
09648344984565f9477a,output_data_3.7.yml,SyntaxError,numpy;scipy;numba;scikit-learn,666.2860000000001,0
096f3b651b268b7af4c8c32475fa23d1,output_data_2.7.yml,OtherPass,mechanize;pandas;beautifulsoup4;ipython,253.033,10
097f97f4cb67c554f04dba6b5a09a506,output_data_3.8.yml,AttributeError,pyobjc;foundation,403.12300000000005,0
098f399d69f230521ef530baca832e76,output_data_2.7.yml,NoMatchingDistribution,foundation,578.9789999999999,0
09b1f5403c63ceab5ae34710cbe2809e,output_data_2.7.yml,OtherPass,opencv-python;numpy,79.163,10
09cae53bf67ea8a39700,output_data_3.7.yml,OtherPass,beautifulsoup4,46.966,10
09f5ab44486b1fc6df7bf20ce57159f1,output_data_3.6.yml,OtherPass,pillow,100.019,10
0a2ac74d800a2eff9540,output_data_3.3.yml,OtherFailure,appindicator;gtk;urllib2,371.342,0
0a3d4fae965bdbec1f9d,output_data_3.7.yml,TypeError,numpy;keras;tensorflow,362.381,7
0a509faf231cff3cdec7,output_data_2.7.yml,OtherPass,flask;flask-login;werkzeug,347.41700000000003,7
0aaa9e4659977a98fc9f36d6887fef37,output_data_3.7.yml,SyntaxError,,508.5,0
0acf77b2c022e2467cfb0d5493d454d6,output_data_2.7.yml,OtherPass,django,59.94199999999999,10
0afa43225bdbe8e803cb,output_data_2.7.yml,NoMatchingDistribution,dbus,329.012,0
